"","Description","Lot.Batch..","Category","Sub.Category","Strain.Name","Strain.Type","d9.THC..mg.g.","THCA..mg.g.","d8.THC..mg.g.","CBD..mg.g.","CBDA..mg.g.","CBDV..mg.g.","CBN..mg.g.","CBG..mg.g.","CBC..mg.g.","CBCA..mg.g.","CBGA..mg.g.","Total.THC.mg.g","Total.CBD.mg.g","Terpinolene....","Eudesmol....","α.Pinene....","β.Pinene....","Camphene....","Eucalyptol....","Isopulegol....","Menthol....","Borneol....","Trans.Beta.Ocimene....","Cis.Beta.Ocimene....","Geraniol....","Linalool....","Guaiol....","α.Bisabolol....","α.Terpinene....","Citronellol....","δ.3.Carene....","Cis.Nerolidol....","Trans.Nerolidol....","Limonene....","P.Cymene....","γ.Terpinene....","α.Terpineol....","ß.Myrcene....","CaryophylleneOxide....","α.Humulene....","ß.Caryophyllene....","total_cannabinoidsMg.g","total_terpsMg.g"
"467","Malawi Mango QC","Malawi Mango QC","Concentrate","Other","","",644.711,2.0678,NA,3.601,0.594,NA,15.6062,2.5108,4.1172,0.2894,0.286,646.524,3.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673.7834,0
"468","Maroon Baboon Flower","CHM-RHMBB-FLR","Plant","Flower","","",4.42298,169.0475,NA,0.00752,0.32489,NA,0.00626,0.68189,0.14371,4.85206,11.6939,152.678,0.292449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.18071,0
"469","MDS- THCA:CBD:CBDA-TNT","THCA:CBD:CBDA","Edible","Tincture","","",0.963,3.094,NA,4.908,4.907,NA,NA,NA,0.185,0.345,0.073,3.67644,9.21144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.475,0
"470","MDS-1:1-PNK2104-S2","","Edible","Tincture","","",5.36879,5.068795,NA,5.649045,5.35078,NA,0.161505,0.08093,0.119855,0.33886,0.217985,9.81412,10.3417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.356545,0
"471","MDS-1:1:1:1-191218-TNT","1:1:1:1 Tincture - 1 of 2","Edible","Tincture","","",4.65622,4.55769,NA,4.69818,4.67086,NA,0.05958,0.06658,0.20916,0.40953,0.10159,8.65331,8.79452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.42939,0
"472","MDS-1:1:1:1-191218-TNT","1:1:1:1 Tincture - 2 of 2","Edible","Tincture","","",4.58336,4.62345,NA,4.74429,4.72099,NA,0.05771,0.07232,0.24573,0.40674,0.10803,8.63813,8.8846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.56262,0
"473","MDS-1:1:1:1-191218-TNT","MDS-1:1:1:1","Edible","Tincture","","",137.29,118.218,NA,143.038,143.51,0.544,2.231,2.647,6.119,12.496,2.367,240.967,268.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568.46,0
"474","MDS-1:1:1:1-191218-TNT 2/2","Pink 1:1:1:1 Tincture","Edible","Tincture","","",4.552,4.46,NA,4.531,4.601,NA,0.076,0.085,0.214,0.41,0.113,8.46342,8.56608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.042,0
"475","MDS-1:1:1:1 190820-TNT","MDS-1:1:1:1 190820-TNT","Edible","Tincture","","",4.581,4.18,NA,4.668,4.79,NA,NA,NA,NA,0.5,NA,8.24686,8.86883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.719,0
"476","MDS-1:10-121919-TNT","MDS-1:10-121919-TNT","Edible","Tincture","","",255.606,47.815,NA,29.737,50.097,0.464,2.654,3.253,2.53,4.187,1.546,297.54,73.6721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.889,0
"477","MDS-1:10-200124-TNT","1:10 Bulk Tincture","Edible","Tincture","","",10.9294,2.5129,NA,1.2216,2.3456,NA,0.1244,0.1234,0.1081,0.1949,0.079,13.1332,3.27869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6393,0
"478","MDS-1:10-200206-BLUE-TNT","100% 1:10 BLUE TNT","Edible","Tincture","","Indica",11.116,2.282,NA,1.13,1.961,NA,0.134,0.129,0.106,0.183,0.078,13.1173,2.8498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.119,0
"479","MDS-1:10-BLU2006-21 QC1","Blue moods stock","Edible","Tincture","","",121.025,28.05,NA,12.886,25.606,NA,3.079,NA,1.433,2.246,1.552,145.625,35.3425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.877,0
"480","MDS-1:10-BLU2006-S1","Blue 1:10 Stock solution","Edible","Tincture","","",22.496,4.877,NA,2.28,4.395,NA,0.565,0.332,0.243,0.366,0.234,26.7731,6.13441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.788,0
"481","MDS-1:10 200206-TNT","100% 1:10 Tincture","Edible","Tincture","","",9.421,1.954,NA,1.144,1.849,NA,0.123,0.128,0.12,NA,0.097,11.1347,2.76557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.836,0
"482","MDS-1:10 CBD:THC-TNT","1:10","Edible","Tincture","","",9.817,1.648,NA,1.037,1.665,NA,0.082,0.097,0.081,0.133,0.052,11.2623,2.49721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.612,0
"483","MDS-1:3-PRP2007-S1","Purple stock solution","Edible","Tincture","","",118.079,39.969,NA,40.775,13.888,0.802,2.182,0.437,1.163,1.847,0.474,153.132,52.9548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.616,0
"484","MDS-1:3 CBD:THC 191119-TNT","MDS-1:3 CBD:THC 191119-TNT","Edible","Tincture","","",11.109,3.469,NA,3.336,1.082,NA,0.126,0.117,0.264,0.287,0.093,14.1513,4.28491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.883,0
"485","MDS-1:3CBD:THC-200115-TNT","1:3 Tincture","Edible","Tincture","","",9.64549,3.43209,NA,3.25714,0.97165,NA,0.09704,0.10401,0.25002,NA,0.06866,12.6554,4.10928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8261,0
"486","MDS-1:3CBD:THC 190820-TNT","MDS-1:3CBD:THC 190820-TNT","Edible","Tincture","","",9.968,3.592,NA,3.35,1.114,NA,NA,NA,NA,NA,NA,13.1182,4.32698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.024,0
"487","MDS-18:1-200122-GREEN-TNT","98% 18:1 GREEN TNT","Edible","Tincture","","",0.655,1.10254,NA,12.00129,4.90693,NA,NA,0.06332,0.1868,0.23101,0.04671,1.62193,16.3047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1936,0
"488","MDS-18:1-200122-GREEN-TNT","90% 18:1 GREEN TNT","Edible","Tincture","","Indica",1.028,1.401,NA,14.75,7.778,NA,NA,0.107,0.281,0.442,NA,2.25668,21.5713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.787,0
"489","MDS-18:1-200122-TNT","18:1 Stock solution","Edible","Tincture","","",12.7759,16.2619,NA,170.5019,88.955,0.5577,0.4455,1.0071,3.3609,5.2903,2.2369,27.0376,248.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301.3931,0
"490","MDS-18:1-GRN2006- S1","Green moods Round 2 Stock","Edible","Tincture","","",8.999,16.544,NA,155.471,64.894,0.861,1.456,0.721,3.35,3.575,0.548,23.5081,212.383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256.419,0
"491","MDS-18:1-GRN2105-S2","","Edible","Tincture","","",0.723545,1.247895,NA,13.535425,4.938735,NA,0.11873,0.068685,0.25744,0.246115,NA,1.81795,17.8667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.13657,0
"492","MDS-18:1 200206-TNT","90% 18:1 Tincture","Edible","Tincture","","",0.7229,1.006,NA,10.884,5.562,0.051,0.041,0.0862,0.2192,NA,0.086,1.60516,15.7619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6583,0
"493","MDS-3:1-200122-TNT","3:1 stock solution","Edible","Tincture","","",50.263,48.7641,NA,144.2488,17.3339,0.5021,1.2945,1.093,3.1583,2.7542,0.7658,93.0291,159.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270.1777,0
"494","MDS-3:1-ONG2006-21 QC1","Orange moods stock","Edible","Tincture","","",28.566,27.499,NA,80.341,8.947,NA,0.596,NA,1.669,1.262,NA,52.6826,88.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.88,0
"495","MDS-3:1 200204-TNT","90% 3:1 tincture","Edible","Tincture","","",2.725,2.624,NA,8.514,0.913,NA,NA,NA,NA,NA,NA,5.02625,9.3147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.776,0
"496","MDS-3:1 200206-TNT","90% (QC2) 3:1 Tincture","Edible","Tincture","","",3.1126,3.051,NA,9.255,1.056,NA,0.0978,0.094,0.2126,NA,0.077,5.78833,10.1811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.956,0
"497","MDS-5:1-YLO2006- S1","Yellow moods Round 2 Stock","Edible","Tincture","","",1.808,9.937,NA,10.237,10.13,NA,NA,0.096,0.222,0.736,0.23,10.5227,19.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.396,0
"498","MDS-5:1:5:5-200117-TNT","5:1:5:5 TNT (GREEN)","Edible","Tincture","","",1.045,4.801,NA,4.653,4.729,NA,NA,0.045,0.19,0.39,0.08,5.25548,8.80033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.933,0
"499","MDS-5:1:5:5-Modification","90% modification of 5:1:5:5","Edible","Tincture","","",1.139,5.2,NA,5.221,5.127,NA,NA,NA,0.211,0.473,NA,5.6994,9.71738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.371,0
"500","MDS-CBD:CBDA:THCA-TNT","MDS-CBD:CBDA:THCA-TNT","Edible","Tincture","","",30.45,90.336,NA,141.528,136.125,0.564,0.991,0.99,5.973,12.603,2.129,109.675,260.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,421.689,0
"501","MGC Balanced Capsule","PL-MGC180623-1","Edible","Capsule","","Hybrid",22.83,NA,NA,36.47,5.77,NA,1.01,NA,3.22,1.11,NA,22.83,41.5303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.41,0
"502","MGC High CBD Capsules","PL-MGC180622-1","Edible","Capsule","","Hybrid",5.5,NA,NA,65.23,11.09,NA,NA,NA,5.51,2.23,NA,5.5,74.9559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.56,0
"503","MGC High THC Capsule","PL-MGC180625-1","Edible","Capsule","","Hybrid",47.37,1.25,NA,8.45,1.25,NA,1.44,NA,1.1,NA,NA,48.4662,9.54625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.86,0
"504","Microdose Tablets ""A Heavy""","CHM-MCDHVA210616","Edible","Powder","","",1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,0
"505","Microdose Tablets ""A Light""","CHM-MCDLIA210616","Edible","Powder","","",1.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.017,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.017,0
"506","Microdose Tablets ""B Heavy""","CHM-MCDHVB210616","Edible","Powder","","",1.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.031,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.031,0
"507","MicrodoseTablets ""  B Light""","CHM-MCDLIB210616","Edible","Powder","","",1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,0
"508","Moods by 1:3 Purple 15 mL Tincture","MDS-1:3-PRP2206-TNT","Edible","Tincture","","",11.607,3.815,NA,3.933,1.26,0.097,0.4981,NA,0.127,0.148,0.067,14.9528,5.03802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5521,0
"509","Moods by 18:1 Green 15 mL Tincture","MDS-18:1-GRN2205-TNT","Edible","Tincture","","",1.0619,1.8067,NA,17.3223,5.2737,NA,NA,0.1298,0.4019,0.3402,NA,2.64638,21.9473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3365,0
"510","Moods by 3:1 Orange 15 mL Tincture","MDS-3:1-ONG2206-TNT","Edible","Tincture","","",5.3746,4.5541,NA,14.1077,1.7744,NA,0.1125,0.2397,0.3357,NA,0.1039,9.36855,15.6638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6026,0
"511","Moods by 5:1 Yellow 15 mL Tincture","MDS-5:1-YLO2206-TNT","Edible","Tincture","","",1.2168,5.8086,NA,5.9455,5.5508,NA,NA,NA,0.1242,0.3755,0.1935,6.31094,10.8136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2149,0
"512","Moods by Blue 1:10 15 mL Tincture","MDS-1:10-BLU2211-TNT","Edible","Tincture","","",12.3194,2.9519,NA,1.3717,2.7137,NA,4.3398,0.2205,0.1706,0.196,0.1691,14.9082,3.75161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4527,0
"513","Moods by Blue 1:10 15 mL Tincture","MDS-1:10-BLU2204-TNT","Edible","Tincture","","",13.816,3.384,NA,1.445,2.778,NA,0.394,0.214,0.172,0.224,0.144,16.7838,3.88131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.571,0
"514","Moods by Blue 1:10 Tincture","MDS-1:10-BLU2108-TNT","Edible","Tincture","","",13.639,3.157,NA,1.343,2.683,NA,0.428,0.212,0.155,0.199,0.176,16.4077,3.69599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.992,0
"515","Moods by Blue 1:10 Tincture","MDS-1:10-BLU2101-TNT","Edible","Tincture","","",10.599,2.584,NA,1.2125,2.411,NA,0.295,0.164,0.125,0.242,0.128,12.8652,3.32695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7605,0
"516","Moods by Blue 1:10 Tincture","MDS-1:10-TNT","Edible","Tincture","","",10.854,1.963,NA,1.141,1.948,NA,0.135,0.127,0.109,0.178,0.07,12.5756,2.8494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.525,0
"517","Moods by Green 18:1 Tincture","MDS-18:1-GRN2208-TNT","Edible","Tincture","","CBD",1.0318,1.5596,NA,15.5845,6.5282,NA,NA,NA,0.3407,0.3033,NA,2.39957,21.3097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3481,0
"518","Moods by Green 18:1 Tincture","MDS-18:1-GRN2110-TNT","Edible","Tincture","","",0.6858,1.1303,NA,12.008,4.66,0.076,0.125,0.071,0.2303,0.2332,NA,1.67707,16.0948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2196,0
"519","Moods by Green 18:1 Tincture","MDS-18:1-GRN2106-TNT","Edible","Tincture","","",0.634,1.275,NA,12.541,5.176,0.061,0.137,0.077,0.256,0.231,NA,1.75217,17.0804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.388,0
"520","Moods by Green 18:1 Tincture","MDS-18:1GRN2101-TNT","Edible","Tincture","","",0.537,1.172,NA,11.0526,4.395,NA,NA,NA,0.227,0.237,NA,1.56484,14.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6206,0
"521","Moods by Green 18:1 Tincture","MDS-18:1-TNT","Edible","Tincture","","",0.559,0.995,NA,9.531,4.113,NA,NA,NA,0.161,NA,NA,1.43162,13.1381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.359,0
"522","Moods by Orange 3:1 15 mL Tincture","MDS-3:1-ONG2211-TNT","Edible","Tincture","","",3.9973,3.2924,NA,11.6399,2.1016,NA,0.1184,0.1537,0.2346,0.1376,0.0696,6.88473,13.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7451,0
"523","Moods by Orange 3:1 Tincture","MDS-3:1-ONG2107-TNT","Edible","Tincture","","",4.01,4.303,NA,13.008,2.145,NA,0.143,0.055,0.243,0.199,0.049,7.78373,14.8892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.155,0
"524","Moods by Orange 3:1 Tincture","MDS-3:1-ONG2011-TNT","Edible","Tincture","","",2.943,3.298,NA,9.235,1.646,NA,0.078,0.036,0.186,0.192,0.044,5.83535,10.6785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.658,0
"525","Moods by Orange 3:1 Tincture","MDS-3:1-TNT","Edible","Tincture","","",3.358,3.223,NA,9.669,1.059,NA,0.095,0.072,0.206,NA,0.055,6.18457,10.5977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.737,0
"526","Moods by Pink 1:1 Tincture","MDS-1:1-PNK2210-TNT","Edible","Tincture","","CBD",5.3798,6.0208,NA,6.0681,5.6202,NA,0.2218,0.1117,0.1362,0.3376,0.2336,10.66,10.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1298,0
"527","Moods by Pink 1:1 Tincture","MDS-1:1-PNK2204-TNT","Edible","Tincture","","",5.2642,5.3448,NA,5.4973,5.3154,NA,0.1659,0.0754,0.0989,0.2443,0.2068,9.95159,10.1589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.213,0
"528","Moods by Pink 1:1 Tincture","MDS-1:1-PNK2111-TNT","Edible","Tincture","","",5.288,5.5897,NA,5.5896,5.5833,NA,0.1929,0.078,0.1008,0.2645,0.2133,10.1902,10.4862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9001,0
"529","Moods by Pink 1:1 Tincture","MDS-1:1-PNK2105-TNT","Edible","Tincture","","",5.046,5.384,NA,5.439,5.603,0.032,0.181,0.088,0.122,0.324,0.206,9.76777,10.3528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.425,0
"530","Moods by Pink 1:1 Tincture","MDS-1:1-PNK2009-TNT","Edible","Tincture","","",4.339,4.575,NA,4.558,4.56,NA,0.073,0.076,0.204,0.46,0.079,8.35128,8.55712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.924,0
"531","Moods by Pink 1:1 Tincture","MDS-1:1-TNT","Edible","Tincture","","",4.465,4.657,NA,4.455,4.693,NA,0.068,0.066,0.24,0.664,0.102,8.54919,8.57076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.41,0
"532","Moods by Purple 1:3 15 mL Tincture","MDS-1:3-PRP2212-TNT","Edible","Tincture","","",10.6046,4.089,NA,3.6767,1.0037,NA,0.2799,3.9892,0.2886,0.0741,0.0681,14.1907,4.55694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0739,0
"533","Moods by Purple 1:3 Tincture","MDS-1:3-PRP2107-TNT","Edible","Tincture","","",12.938,4.544,NA,4.387,1.518,0.088,0.418,NA,0.151,0.202,0.039,16.9231,5.71829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.285,0
"534","Moods by Purple 1:3 Tincture","MDS-1:3PRP2012-TNT","Edible","Tincture","","",8.931,3.259,NA,3.25,1.09,0.07,0.251,0.036,0.103,0.154,0.058,11.7891,4.20593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.202,0
"535","Moods by Purple 1:3 Tincture","MDS-1:3-200206-TNT","Edible","Tincture","","",8.698,3.155,NA,2.979,0.933,NA,0.1,0.099,0.233,0.263,0.076,11.4649,3.79724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.536,0
"536","Moods by Yellow 5:1 Tincture","MDS-5:1-YLO2109-TNT","Edible","Tincture","","",1.296,6.277,NA,6.477,6.072,NA,NA,0.068,0.104,0.405,0.14,6.80093,11.8021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.839,0
"537","Moods by Yellow 5:1 Tincture","MDS-5:1YLO2012-TNT","Edible","Tincture","","",1.014,5.463,NA,5.302,5.061,0.029,0.014,0.046,0.116,0.344,0.094,5.80505,9.7405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.483,0
